"2008-12-29";"DECD-0005";"Instrumental";"闡提宗祀 ～ Offering to The Sukhavati";"0";"";""
"2008-12-29";"DECD-0005";"Instrumental";"闡提宗祀 ～ Offering to The Sukhavati";"1";"童祭 ～ Innocent Treasures";"徳南，九宝時"
"2008-12-29";"DECD-0005";"Instrumental";"闡提宗祀 ～ Offering to The Sukhavati";"2";"人形裁判 ～ 人の形弄びし少女";"徳南，九宝時"
"2008-12-29";"DECD-0005";"Instrumental";"闡提宗祀 ～ Offering to The Sukhavati";"3";"天空のグリニッジ ～ Deep P Sky";"徳南，九宝時"
"2008-12-29";"DECD-0005";"Instrumental";"闡提宗祀 ～ Offering to The Sukhavati";"4";"オリエンタルダークフライト";"徳南，九宝時"
"2008-12-29";"DECD-0005";"Instrumental";"闡提宗祀 ～ Offering to The Sukhavati";"5";"天狗が見ている ～ Eye of the Needles";"徳南，九宝時"
"2008-12-29";"DECD-0005";"Instrumental";"闡提宗祀 ～ Offering to The Sukhavati";"6";"妖怪の山 ～ Mysterious Mountain";"徳南，九宝時"
"2008-12-29";"DECD-0005";"Instrumental";"闡提宗祀 ～ Offering to The Sukhavati";"7";"花の映る塚 彼岸の塚 ～ Unnamed Scenery";"徳南，九宝時"
"2008-12-29";"DECD-0005";"Instrumental";"闡提宗祀 ～ Offering to The Sukhavati";"8";"亡き王女の為のセプテット ～ Ascending Into Naught";"徳南，九宝時"
"2008-12-29";"DECD-0005";"Instrumental";"闡提宗祀 ～ Offering to The Sukhavati";"9";"彼岸の奴隷 ～ One Conclusion";"徳南，九宝時"
"2008-12-29";"DECD-0005";"Instrumental";"闡提宗祀 ～ Offering to The Sukhavati";"10";"幻想、夢の終わり";"徳南，九宝時"
