"2013-12-30";"DECD-0009";"Instrumental";le Grimoire De reve";"0";"";""
"2013-12-30";"DECD-0009";"Instrumental";le Grimoire De reve";"1";"Introduction ～ lch ruf zu dir,herr";"九宝時，徳南"
"2013-12-30";"DECD-0009";"Instrumental";le Grimoire De reve";"2";"The Grimoire of Alice ～ 不思議の国のアリス";"九宝時，徳南"
"2013-12-30";"DECD-0009";"Instrumental";le Grimoire De reve";"3";"妖々跋扈　～ Who done it！！！";"九宝時，徳南"
"2013-12-30";"DECD-0009";"Instrumental";le Grimoire De reve";"4";"懐かしき東方の血　～ Sic World";"九宝時，徳南"
"2013-12-30";"DECD-0009";"Instrumental";le Grimoire De reve";"5";"古きユアンシェン ～ Death Echo";"九宝時，徳南"
"2013-12-30";"DECD-0009";"Instrumental";le Grimoire De reve";"6";"星の器 ～ Casket of Star";"九宝時，徳南"
"2013-12-30";"DECD-0009";"Instrumental";le Grimoire De reve";"7";"夢は時空を越えて ～ Dream War";"九宝時，徳南"
"2013-12-30";"DECD-0009";"Instrumental";le Grimoire De reve";"8";"夢消失　～Lost Dream";"九宝時，徳南"
"2013-12-30";"DECD-0009";"Instrumental";le Grimoire De reve";"9";"ハートフェルトファンシー ～ Prie a Dieu";"九宝時，徳南"
