"2015-08-14";"DECD-0010";"Instrumental";"愧人贖悪 ～ Evil People as the True Object of Salvation ～";"0";"";""
"2015-08-14";"DECD-0010";"Instrumental";"愧人贖悪 ～ Evil People as the True Object of Salvation ～";"1";"Introduction ~ Double Dealing";"九宝時，徳南"
"2015-08-14";"DECD-0010";"Instrumental";"愧人贖悪 ～ Evil People as the True Object of Salvation ～";"2";"ラストリモート ～ Type A Personality";"九宝時，徳南"
"2015-08-14";"DECD-0010";"Instrumental";"愧人贖悪 ～ Evil People as the True Object of Salvation ～";"3";"リバースイデオロギー ～ The Antinomy of Ideology";"九宝時，徳南"
"2015-08-14";"DECD-0010";"Instrumental";"愧人贖悪 ～ Evil People as the True Object of Salvation ～";"4";"アリスマエステラ ～ Flow My Tears,the Said";"九宝時，徳南"
"2015-08-14";"DECD-0010";"Instrumental";"愧人贖悪 ～ Evil People as the True Object of Salvation ～";"5";"無何有の郷 ～ Grief of Ressentiment";"九宝時，徳南"
"2015-08-14";"DECD-0010";"Instrumental";"愧人贖悪 ～ Evil People as the True Object of Salvation ～";"6";"広有射怪鳥事 ～ Till When?";"九宝時，徳南"
"2015-08-14";"DECD-0010";"Instrumental";"愧人贖悪 ～ Evil People as the True Object of Salvation ～";"7";"Intro:The Shining Needle Castle Sinking in the Air";"九宝時，徳南"
"2015-08-14";"DECD-0010";"Instrumental";"愧人贖悪 ～ Evil People as the True Object of Salvation ～";"8";"空中に沈む輝針城 ～ Counter-Clock World";"九宝時，徳南"
"2015-08-14";"DECD-0010";"Instrumental";"愧人贖悪 ～ Evil People as the True Object of Salvation ～";"9";"輝く針の小人族 ～ Counter-Attack of the Weak";"九宝時，徳南"
