"2013-12-31";"CLST-0005";"Metalcore";"Over The Mythologia";"0";"";""
"2013-12-31";"CLST-0005";"Metalcore";"Over The Mythologia";"1";"Enter The Mythologia (Intro)";"やーぱん"
"2013-12-31";"CLST-0005";"Metalcore";"Over The Mythologia";"2";"Over The Mythologia";"やーぱん"
"2013-12-31";"CLST-0005";"Metalcore";"Over The Mythologia";"3";"Fatal Disobedience";"やーぱん"
"2013-12-31";"CLST-0005";"Metalcore";"Over The Mythologia";"4";"Insomnia";"やーぱん"
"2013-12-31";"CLST-0005";"Metalcore";"Over The Mythologia";"5";"Rise Above The Distress (Re:A-Rise)";"やーぱん"
"2013-12-31";"CLST-0005";"Metalcore";"Over The Mythologia";"6";"Doomsday's Eve";"やーぱん"
"2013-12-31";"CLST-0005";"Metalcore";"Over The Mythologia";"7";"Behind The Wall Of Apathy";"やーぱん"
"2013-12-31";"CLST-0005";"Metalcore";"Over The Mythologia";"8";"The Fallen Never Fall";"やーぱん"
"2013-12-31";"CLST-0005";"Metalcore";"Over The Mythologia";"9";"Always And Forever";"やーぱん"
